Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ederson,br BRA,GK,Manchester City,31-012,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
George Edmundson,eng ENG,DF,Ipswich Town,26-364,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,26-226,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,Matches,,,,,,,
Samuel Edozie,eng ENG,"DF,FW",Southampton,21-214,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches,,,,,,,
Anthony Elanga,se SWE,FW,Nott'ham Forest,22-124,2002,2,2,143,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,3,5,8,0.00,0.00,0.00,0.00,0.00,0.15,0.25,0.40,0.15,0.40,Matches,,,,,,,
Harvey Elliott,eng ENG,FW,Liverpool,21-147,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Julio Enciso,py PAR,MF,Brighton,20-219,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23,Matches,,,,,,,
Wataru Endo,jp JPN,MF,Liverpool,31-202,1993,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Evanilson,br BRA,FW,Bournemouth,24-328,1999,1,1,71,0.8,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,1,1,2,0.00,0.00,0.00,0.00,0.00,1.03,0.00,1.03,1.03,1.03,Matches,,,,,,,
Jonny Evans,nir NIR,DF,Manchester Utd,36-239,1988,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Eberechi Eze,eng ENG,MF,Crystal Palace,26-061,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.1,13,10,17,0.00,0.00,0.00,0.00,0.00,0.43,0.13,0.56,0.43,0.56,Matches,,,,,,,
Wout Faes,be BEL,DF,Leicester City,26-148,1998,2,2,180,2.0,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,0,1,0,0.50,0.00,0.50,0.50,0.50,0.17,0.00,0.17,0.17,0.17,Matches,,,,,,,
Abdul Fatawu Issahaku,gh GHA,"FW,MF",Leicester City,20-174,2004,2,2,180,2.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.5,8,4,10,0.00,0.50,0.50,0.00,0.50,0.03,0.23,0.26,0.03,0.26,Matches,,,,,,,
João Félix,pt POR,"MF,FW",Chelsea,24-293,1999,1,0,23,0.3,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,3,1,1,3.91,0.00,3.91,3.91,3.91,1.03,0.00,1.03,1.03,1.03,Matches,,,,,,,
Bruno Fernandes,pt POR,"FW,MF",Manchester Utd,29-356,1994,2,2,168,1.9,0,0,0,0,0,0,0,0,1.3,1.3,0.8,2.1,8,12,11,0.00,0.00,0.00,0.00,0.00,0.68,0.45,1.12,0.68,1.12,Matches,,,,,,,
